Hospitals within 20 km;Proximity;9;Average number;2022
Hospitals within 10 km;Proximity;6;Average number;2022
Hospitals with outpatient clinic within 5 km;Proximity;2;Average number;2022
Hospitals with outpatient clinic within 20 km;Proximity;12;Average number;2022
Hospitals with outpatient clinic within 10 km;Proximity;7;Average number;2022
Hospital with outpatient clinic distance;Proximity;1.40;Average in Euro;2022
Hospital distance;Proximity;1.40;Average in Euro;2022
General practitioners within 5 km;Proximity;113;Average number;2022
General practitioners within 3 km;Proximity;56;Average number;2022
General practitioners within 1 km;Proximity;3;Average number;2022
Forest distance;Proximity;3.10;Average in Euro;2017
Fire station distance;Proximity;2;Average number;2022
Distance to general practitioner post;Proximity;1.40;Average in Euro;2022
Distance to general practitioner;Proximity;0.60;Average in Euro;2022
Department stores within 5 km;Proximity;12;Average number;2022
Department stores within 20 km;Proximity;35;Average number;2022
Department stores within 10 km;Proximity;26;Average number;2022
Department store distance;Proximity;1.50;Average in Euro;2022
Daycares within 5 km;Proximity;253;Average number;2023
Daycares within 3 km;Proximity;100;Average number;2023
Daycares within 1 km;Proximity;5;Average number;2023
Daycare distance;Proximity;0.50;Average in Euro;2023
Day recreational area distance;Proximity;0.60;Average in Euro;2017
Cinemas within 5 km;Proximity;11;Average number;2023
Cinemas within 20 km;Proximity;18;Average number;2023
Cinemas within 10 km;Proximity;14;Average number;2023
Cinema distance;Proximity;0.70;Average in Euro;2023
Cemetery distance;Proximity;3.10;Average in Euro;2017
Cafes within 5 km;Proximity;606;Average number;2023
Cafes within 3 km;Proximity;396;Average number;2023
Cafes within 1 km;Proximity;15;Average number;2023
Cafe distance;Proximity;0.40;Average in Euro;2023
Attractions within 50 km;Proximity;67;Average number;2022
Attractions within 20 km;Proximity;17;Average number;2022
Attractions within 10 km;Proximity;7;Average number;2022
Attraction distance;Proximity;0.70;Average in Euro;2022
Artificial ice rink distance;Proximity;3.80;Average in Euro;2022
Allotment garden distance;Proximity;2.30;Average in Euro;2017
After-school care within 5 km;Proximity;129;Average number;2023
After-school care within 3 km;Proximity;51;Average number;2023
After-school care within 1 km;Proximity;3;Average number;2023
After-school care distance;Proximity;0.50;Average in Euro;2023
Zipcode area;Regional;1011PW-1018ZV;Name;2024
Surface water;Regional;14;Number of hectares;2024
Surface total;Regional;92;Number of hectares;2024
Surface land;Regional;78;Number of hectares;2024
Stand locations;Regional;0;Number;2024
Sort code;Regional;0363AJ00;Code;2024
Residential objects;Regional;5,297;Number;2024
Region type;Regional;Wijk;Categorical type;2024
Region name;Regional;Weesperbuurt/Plantage;Name;2024
Region code;Regional;WK0363AJ;Code;2024
Population density;Regional;10,282;Number per km²;2024
Passenger cars per surface;Regional;2,609;Number;2024
Parcels with address;Regional;986;Number;2024
Most common zipcode;Regional;1018;Name;2024
Degree of urbanization;Regional;1;Indicator 1-5;2024
Coverage percentage most common zipcode;Regional;1;Percentage;2024
Buildings with address;Regional;982;Number;2024
Buildings built from 2020 onwards;Regional;5;Number;2024
Buildings built from 2010 to 2020;Regional;33;Number;2024
Buildings built from 2000 to 2010;Regional;210;Number;2024
Buildings built from 1990 to 2000;Regional;469;Number;2024
Buildings built from 1980 to 1990;Regional;576;Number;2024
Buildings built from 1970 to 1980;Regional;76;Number;2024
Buildings built from 1950 to 1970;Regional;217;Number;2024
Buildings built from 1925 to 1950;Regional;114;Number;2024
Buildings built from 1900 to 1925;Regional;848;Number;2024
Buildings built from 1700 to 1900;Regional;2,677;Number;2024
Buildings built before 1700;Regional;53;Number;2024
Buildings before 1700;Regional;19;Number;2024
Buildings 2020 and later;Regional;2;Number;2024
Buildings 2010 to 2020;Regional;29;Number;2024
Buildings 2000 to 2010;Regional;13;Number;2024
Buildings 1990 to 2000;Regional;39;Number;2024
Buildings 1980 to 1990;Regional;46;Number;2024
Buildings 1970 to 1980;Regional;15;Number;2024
Buildings 1950 to 1970;Regional;29;Number;2024
Buildings 1925 to 1950;Regional;27;Number;2024
Buildings 1900 to 1925;Regional;135;Number;2024
Buildings 1700 to 1900;Regional;628;Number;2024
Berth locations;Regional;92;Number;2024
Addresses within built-up area;Regional;5,389;Number;2024
Addresses with sports function;Regional;8;Number;2024
Addresses with retail function;Regional;54;Number;2024
Addresses with residential function within built-up area;Regional;4,78;Number;2024
Addresses with residential function outside built-up area;Regional;0;Number;2024
Addresses with residential function;Regional;4,78;Number;2024
Addresses with postal code;Regional;5,355;Number;2024
Addresses with parcel;Regional;5,389;Number;2024
Addresses with other usage function;Regional;134;Number;2024
Addresses with office function;Regional;151;Number;2024
Addresses with meeting function;Regional;91;Number;2024
Addresses with lodging function;Regional;37;Number;2024
Addresses with industrial function;Regional;66;Number;2024
Addresses with healthcare function;Regional;19;Number;2024
Addresses with educational function;Regional;31;Number;2024
Addresses with cell function;Regional;0;Number;2024
Addresses with building;Regional;5,278;Number;2024
Addresses total;Regional;5,389;Number;2024
Addresses outside built-up area;Regional;0;Number;2024
Address density;Regional;7,99;Average distance in km;2024
Traffic accidents total;Traffic accidents;53;Number;2022
Traffic accidents only material damage;Traffic accidents;41;Number;2022
Traffic accidents injuries;Traffic accidents;12;Number;2022
Traffic accidents deadly;Traffic accidents;0;Number;2022
Passenger cars total;Transport;2,035;Number;2024
Passenger cars petrol;Transport;1,28;Number;2024
Passenger cars per household;Transport;0.40;Number;2024
Passenger cars other fuel;Transport;755;Number;2024
Motorcycles;Transport;140;Number;2024
